Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
23/06/2023,B,ERICK/60409,2.00,23/06/2023 23:52:02,23/06/2023 23:52:20,ORGANIZACIONAL,Hora de Comida,NA,NA
23/06/2023,B,ERICK/60409,5.00,23/06/2023 23:54:02,23/06/2023 23:54:14,no plan,no plan,no plan,no plan
23/06/2023,B,ERICK/60409,0,23/06/2023 23:59:02,23/06/2023 23:59:02,ORGANIZACIONAL,Ausentismo,Falta,NA
23/06/2023,B,ERICK/60409,77.00,23/06/2023 23:55:02,24/06/2023 01:07:02,no plan,no plan,no plan,no plan
23/06/2023,B,ERICK/60409,0,24/06/2023 01:12:02,24/06/2023 01:12:02,ORGANIZACIONAL,Ausentismo,Falta,NA
23/06/2023,B,ERICK/60409,1.00,24/06/2023 01:08:01,24/06/2023 01:08:40,no plan,no plan,no plan,no plan
23/06/2023,B,ERICK/60409,2.00,24/06/2023 01:10:01,24/06/2023 01:10:47,no plan,no plan,no plan,no plan
23/06/2023,B,ERICK/60409,0,24/06/2023 01:12:01,24/06/2023 01:12:01,ORGANIZACIONAL,Ausentismo,Falta,NA
23/06/2023,B,ERICK/60409,4.00,24/06/2023 01:11:01,24/06/2023 01:14:45,no plan,no plan,no plan,no plan
23/06/2023,B,ERICK/60409,1.00,24/06/2023 01:15:01,24/06/2023 01:15:08,FUNCIONAL,Cambio de Reel,lleno,NA
