Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
23/06/2023,B,50469/OSWALDO,0,23/06/2023 22:59:01,23/06/2023 22:59:01,IoT testing1,N/A,N/A,N/A
23/06/2023,B,50469/OSWALDO,6,23/06/2023 23:09:01,23/06/2023 23:11:01,ORGANIZACIONAL,Ausentismo,Falta,NA
23/06/2023,B,50469/OSWALDO,3.00,23/06/2023 23:11:02,23/06/2023 23:12:26,TECNICO,Falla / Mecanica,Polea esquinera,NA
23/06/2023,B,50469/OSWALDO,2.00,23/06/2023 23:13:02,23/06/2023 23:14:28,no plan,no plan,no plan,no plan
23/06/2023,B,50469/OSWALDO,2.00,23/06/2023 23:13:02,23/06/2023 23:14:56,no plan,no plan,no plan,no plan
23/06/2023,B,50469/OSWALDO,0,23/06/2023 23:15:02,23/06/2023 23:15:02,IoT testing1,N/A,N/A,N/A
23/06/2023,B,50469/OSWALDO,1.00,23/06/2023 23:15:02,23/06/2023 23:15:34,no plan,no plan,no plan,no plan
23/06/2023,B,50469/OSWALDO,0,23/06/2023 23:16:02,23/06/2023 23:16:02,IoT testing1,N/A,N/A,N/A
23/06/2023,B,EMILIO/60557,87.00,23/06/2023 23:16:02,24/06/2023 00:42:09,no plan,no plan,no plan,no plan
23/06/2023,B,EMILIO/60557,1.00,24/06/2023 00:43:01,24/06/2023 00:43:20,ORGANIZACIONAL,Hora de Break,NA,NA
23/06/2023,B,EMILIO/60557,4.00,24/06/2023 00:45:01,24/06/2023 00:47:13,no plan,no plan,no plan,no plan
23/06/2023,B,EMILIO/60557,0,24/06/2023 00:49:01,24/06/2023 00:49:01,ORGANIZACIONAL,Ausentismo,Falta,NA
