Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
23/06/2023,B,EMANUEL/60432,0.17,23/06/2023 22:30:23,24/06/2023 00:45:26,no plan,no plan,no plan,no plan
23/06/2023,B,EMANUEL/60432,0,23/06/2023 22:30:23,23/06/2023 22:30:23,IoT_testing,N/A,N/A,N/A
23/06/2023,B,EMANUEL/60432,0,24/06/2023 00:46:17,24/06/2023 00:46:36,IoT_testing,N/A,N/A,N/A
23/06/2023,B,EMANUEL/60432,1,24/06/2023 00:46:47,24/06/2023 00:47:47,IoT_testing,N/A,N/A,N/A
23/06/2023,B,EMANUEL/60432,0.33,24/06/2023 00:47:37,24/06/2023 00:47:56,IoT_testing,N/A,N/A,N/A
23/06/2023,B,EMANUEL/60432,80,24/06/2023 00:47:57,24/06/2023 00:48:57,IoT_testing,N/A,N/A,N/A
23/06/2023,B,EMANUEL/60432,0,24/06/2023 02:08:24,24/06/2023 02:08:24,IoT_testing,N/A,N/A,N/A
23/06/2023,B,EMANUEL/60432,0.33,24/06/2023 02:08:44,24/06/2023 02:08:59,ORGANIZACIONAL,Hora de Comida,NA,NA
23/06/2023,B,EMANUEL/60432,0.67,24/06/2023 02:09:04,24/06/2023 02:09:38,ORGANIZACIONAL,Hora de Comida,NA,NA
23/06/2023,B,EMANUEL/60432,0.33,24/06/2023 02:09:44,24/06/2023 02:10:01,no plan,no plan,no plan,no plan
23/06/2023,B,EMANUEL/60432,0,24/06/2023 02:10:14,24/06/2023 02:10:14,IoT_testing,N/A,N/A,N/A
23/06/2023,B,EMANUEL/60432,0,24/06/2023 02:10:14,24/06/2023 02:10:14,IoT_testing,N/A,N/A,N/A
23/06/2023,B,EMANUEL/60432,15.00,24/06/2023 02:10:14,24/06/2023 02:12:12,no plan,no plan,no plan,no plan
23/06/2023,B,EMANUEL/60432,0,24/06/2023 02:25:14,24/06/2023 02:25:14,IoT_testing,N/A,N/A,N/A
